[11-Mar-2021 17:29:27 UTC] PHP Warning:  require_once(/Users/michellapalus/work/sites/wordpress/wp-content/themes/monthemeinc/register/script): failed to open stream: No such file or directory in /Users/michellapalus/work/sites/wordpress/wp-content/themes/montheme/functions.php on line 11
[11-Mar-2021 17:29:27 UTC] PHP Fatal error:  require_once(): Failed opening required '/Users/michellapalus/work/sites/wordpress/wp-content/themes/monthemeinc/register/script' (include_path='.:/usr/local/Cellar/php/7.4.11/share/php/pear') in /Users/michellapalus/work/sites/wordpress/wp-content/themes/montheme/functions.php on line 11
[11-Mar-2021 17:29:27 UTC] PHP Notice:  Trying to access array offset on value of type bool in /Users/michellapalus/work/sites/wordpress/wp-includes/class-wp-recovery-mode-email-service.php on line 351
[11-Mar-2021 17:29:27 UTC] PHP Notice:  Trying to access array offset on value of type bool in /Users/michellapalus/work/sites/wordpress/wp-includes/class-wp-recovery-mode-email-service.php on line 352
[11-Mar-2021 17:29:31 UTC] PHP Warning:  require_once(/Users/michellapalus/work/sites/wordpress/wp-content/themes/monthemeinc/register/script): failed to open stream: No such file or directory in /Users/michellapalus/work/sites/wordpress/wp-content/themes/montheme/functions.php on line 11
[11-Mar-2021 17:29:31 UTC] PHP Fatal error:  require_once(): Failed opening required '/Users/michellapalus/work/sites/wordpress/wp-content/themes/monthemeinc/register/script' (include_path='.:/usr/local/Cellar/php/7.4.11/share/php/pear') in /Users/michellapalus/work/sites/wordpress/wp-content/themes/montheme/functions.php on line 11
[11-Mar-2021 17:30:02 UTC] PHP Warning:  require_once(/Users/michellapalus/work/sites/wordpress/wp-content/themes/monthemeinc/register/script.php): failed to open stream: No such file or directory in /Users/michellapalus/work/sites/wordpress/wp-content/themes/montheme/functions.php on line 11
[11-Mar-2021 17:30:02 UTC] PHP Fatal error:  require_once(): Failed opening required '/Users/michellapalus/work/sites/wordpress/wp-content/themes/monthemeinc/register/script.php' (include_path='.:/usr/local/Cellar/php/7.4.11/share/php/pear') in /Users/michellapalus/work/sites/wordpress/wp-content/themes/montheme/functions.php on line 11
[11-Mar-2021 17:30:28 UTC] PHP Warning:  require_once(/Users/michellapalus/work/sites/wordpress/wp-content/themes/monthemeinc/register/script.php): failed to open stream: No such file or directory in /Users/michellapalus/work/sites/wordpress/wp-content/themes/montheme/functions.php on line 11
[11-Mar-2021 17:30:28 UTC] PHP Fatal error:  require_once(): Failed opening required '/Users/michellapalus/work/sites/wordpress/wp-content/themes/monthemeinc/register/script.php' (include_path='.:/usr/local/Cellar/php/7.4.11/share/php/pear') in /Users/michellapalus/work/sites/wordpress/wp-content/themes/montheme/functions.php on line 11
[14-Mar-2021 10:50:34 UTC] PHP Warning:  require_once(/Users/michellapalus/work/sites/wordpress/wp-content/themes/flash/register/script.php): failed to open stream: No such file or directory in /Users/michellapalus/work/sites/wordpress/wp-content/themes/flash-child/functions.php on line 11
[14-Mar-2021 10:50:34 UTC] PHP Fatal error:  require_once(): Failed opening required '/Users/michellapalus/work/sites/wordpress/wp-content/themes/flash/register/script.php' (include_path='.:/Applications/MAMP/bin/php/php7.4.1/lib/php') in /Users/michellapalus/work/sites/wordpress/wp-content/themes/flash-child/functions.php on line 11
[14-Mar-2021 10:50:34 UTC] PHP Notice:  Trying to access array offset on value of type bool in /Users/michellapalus/work/sites/wordpress/wp-includes/class-wp-recovery-mode-email-service.php on line 351
[14-Mar-2021 10:50:34 UTC] PHP Notice:  Trying to access array offset on value of type bool in /Users/michellapalus/work/sites/wordpress/wp-includes/class-wp-recovery-mode-email-service.php on line 352
[14-Mar-2021 10:52:40 UTC] PHP Warning:  require_once(/Users/michellapalus/work/sites/wordpress/wp-content/themes/flash/inc/register/script.php): failed to open stream: No such file or directory in /Users/michellapalus/work/sites/wordpress/wp-content/themes/flash-child/functions.php on line 11
[14-Mar-2021 10:52:40 UTC] PHP Fatal error:  require_once(): Failed opening required '/Users/michellapalus/work/sites/wordpress/wp-content/themes/flash/inc/register/script.php' (include_path='.:/Applications/MAMP/bin/php/php7.4.1/lib/php') in /Users/michellapalus/work/sites/wordpress/wp-content/themes/flash-child/functions.php on line 11
[14-Mar-2021 14:33:27 UTC] PHP Warning:  Une erreur imprévue est survenue. Il pourrait y avoir un problème avec WordPress.org ou la configuration de ce serveur. Si vous continuez à rencontrer ce problème, veuillez vous rendre sur les <a href="https://wpfr.net/support">forums de support</a>. (WordPress n’a pas pu établir de connexion sécurisée vers WordPress.org. Veuillez contacter l’administrateur ou l’administratrice de votre serveur.) in /Users/michellapalus/work/sites/wordpress/wp-includes/update.php on line 175
[14-Mar-2021 14:33:27 UTC] PHP Warning:  Une erreur imprévue est survenue. Il pourrait y avoir un problème avec WordPress.org ou la configuration de ce serveur. Si vous continuez à rencontrer ce problème, veuillez vous rendre sur les <a href="https://wpfr.net/support">forums de support</a>. (WordPress n’a pas pu établir de connexion sécurisée vers WordPress.org. Veuillez contacter l’administrateur ou l’administratrice de votre serveur.) in /Users/michellapalus/work/sites/wordpress/wp-includes/update.php on line 410
[14-Mar-2021 14:33:27 UTC] PHP Warning:  Une erreur imprévue est survenue. Il pourrait y avoir un problème avec WordPress.org ou la configuration de ce serveur. Si vous continuez à rencontrer ce problème, veuillez vous rendre sur les <a href="https://wpfr.net/support">forums de support</a>. (WordPress n’a pas pu établir de connexion sécurisée vers WordPress.org. Veuillez contacter l’administrateur ou l’administratrice de votre serveur.) in /Users/michellapalus/work/sites/wordpress/wp-includes/update.php on line 614
